booking_id,booking_date,arrival_date,lead_time,customer_country,market_segment,repeated_guest,customer_type,adults,children,rooms,stay_length,room_type,reserved_rate,deposit_type,special_requests,booking_channel,cancelled,cancellation_date,occupancy_level,holiday,event,cancellation_reason,revenue,est_revpar,arrival_weekday,booking_month,arrival_month
BK100000,2024-10-16,2024-10-30,14,JPN,Corporate,0,Transient,1,0,1,4,C,97,Non Refund,0,Direct,0,,Medium,0,0,,388,58.2,2,10,10
BK100001,2023-04-25,2023-05-01,6,IND,Direct,0,Transient,2,0,1,1,B,130,No Deposit,1,OTA,0,,Medium,0,0,,130,84.5,0,4,5
BK100002,2023-01-26,2023-02-23,28,USA,Online TA,1,Transient-Party,2,0,1,4,B,119,No Deposit,0,OTA,0,,Low,0,0,,476,59.5,3,1,2
BK100003,2025-01-29,2025-03-02,32,IND,Direct,0,Transient,4,0,1,4,A,96,No Deposit,0,OTA,0,,Medium,0,0,,384,52.8,6,1,3
BK100004,2023-10-09,2023-11-30,52,IND,Online TA,0,Transient,2,0,1,4,C,86,No Deposit,1,OTA,1,2023-10-17,Low,0,0,Visa delay,344,43.0,3,10,11
BK100005,2023-09-08,2023-09-11,3,IND,Corporate,0,Transient,2,0,1,4,D,185,No Deposit,1,OTA,0,,High,0,1,,740,129.5,0,9,9
BK100006,2023-08-17,2023-08-20,3,FRA,Online TA,1,Transient,2,0,1,4,B,160,Non Refund,0,Direct,0,,Peak,0,0,,640,136.0,6,8,8
BK100007,2023-05-23,2023-06-02,10,GBR,Direct,0,Transient,3,0,1,2,D,182,Refundable,0,OTA,0,,High,0,0,,364,136.5,4,5,6
BK100008,2025-01-24,2025-01-29,5,DEU,Direct,0,Transient,1,0,1,4,B,105,No Deposit,0,OTA,0,,Low,0,0,,420,47.25,2,1,1
BK100009,2023-04-15,2023-10-14,182,IND,Groups,0,Transient,2,0,1,4,B,162,Refundable,0,OTA,0,,Medium,0,0,,648,97.2,5,4,10
BK100010,2024-11-23,2025-01-10,48,DEU,Groups,0,Group,2,0,3,5,A,87,Refundable,0,Direct,1,2025-01-02,Low,0,0,Illness,1305,39.15,4,11,1
BK100011,2025-01-28,2025-04-20,82,USA,Online TA,0,Contract,3,0,1,5,B,145,No Deposit,0,OTA,1,2025-02-06,Medium,0,0,Found cheaper option,725,87.0,6,1,4
BK100012,2024-07-12,2024-08-17,36,CHN,Offline TA/TO,0,Contract,3,1,1,4,B,190,Non Refund,0,Travel Agent,0,,Peak,0,0,,760,161.5,5,7,8
BK100013,2023-03-31,2023-04-17,17,JPN,Online TA,0,Transient,1,0,1,5,A,107,Refundable,0,Direct,0,,Medium,0,0,,535,64.2,0,3,4
BK100014,2024-08-27,2024-12-20,115,DEU,Complementary,0,Transient,2,0,1,2,B,174,Non Refund,0,OTA,0,,Peak,0,0,,348,139.2,4,8,12
BK100015,2024-03-08,2024-05-11,64,ITA,Groups,0,Transient,2,2,1,3,A,101,No Deposit,0,OTA,1,2024-03-11,Medium,0,0,Family emergency,303,65.65,5,3,5
BK100016,2023-02-02,2023-02-05,3,CAN,Groups,0,Transient,3,0,1,5,B,136,Non Refund,0,Direct,0,,Low,0,0,,680,68.0,6,2,2
BK100017,2023-01-31,2023-02-21,21,DEU,Offline TA/TO,0,Transient,2,1,1,1,A,79,No Deposit,0,OTA,0,,Low,0,0,,79,39.5,1,1,2
BK100018,2023-04-06,2023-05-02,26,GBR,Online TA,0,Transient,1,0,1,2,C,99,No Deposit,0,OTA,0,,Medium,0,0,,198,64.35,1,4,5
BK100019,2023-08-12,2023-09-19,38,JPN,Direct,0,Transient,2,0,1,1,A,124,No Deposit,0,OTA,0,,High,0,0,,124,86.8,1,8,9
BK100020,2023-08-27,2023-09-05,9,JPN,Corporate,0,Transient,2,0,1,6,A,103,No Deposit,0,OTA,0,,High,0,0,,618,72.1,1,8,9
BK100021,2024-06-01,2024-06-20,19,GBR,Direct,0,Transient,2,0,1,6,A,127,Refundable,0,OTA,0,,High,0,0,,762,95.25,3,6,6
BK100022,2024-09-08,2024-09-13,5,GBR,Direct,0,Transient,3,0,1,6,B,138,Non Refund,0,OTA,1,2024-09-12,High,0,0,Found cheaper option,828,96.6,4,9,9
BK100023,2023-01-28,2023-02-04,7,IND,Online TA,0,Transient,2,0,1,1,A,99,Refundable,0,OTA,0,,Low,0,0,,99,49.5,5,1,2
BK100024,2024-07-28,2024-08-13,16,JPN,Direct,0,Transient,2,0,1,2,B,167,Refundable,2,OTA,0,,Peak,0,0,,334,141.95,1,7,8
BK100025,2023-07-23,2023-08-06,14,DEU,Direct,0,Transient,1,0,1,4,C,111,No Deposit,0,OTA,0,,Peak,1,0,,444,94.35,6,7,8
BK100026,2025-01-03,2025-01-10,7,JPN,Offline TA/TO,0,Contract,4,2,1,7,E,184,Non Refund,1,Corporate,0,,Low,0,0,,1288,82.8,4,1,1
BK100027,2024-10-27,2024-11-11,15,BRA,Online TA,0,Transient,2,1,1,2,D,158,No Deposit,0,Direct,0,,Low,0,0,,316,79.0,0,10,11
BK100028,2024-12-19,2025-01-24,36,IND,Online TA,0,Transient,2,0,1,5,D,153,Refundable,1,OTA,0,,Low,0,0,,765,68.85,4,12,1
BK100029,2024-07-12,2024-08-03,22,FRA,Offline TA/TO,1,Transient,2,0,1,5,A,114,No Deposit,0,OTA,0,,Peak,0,0,,570,96.9,5,7,8
BK100030,2024-03-05,2024-04-14,40,BRA,Groups,0,Transient,1,0,1,4,B,128,No Deposit,0,OTA,0,,Medium,0,0,,512,76.8,6,3,4
BK100031,2023-08-14,2023-08-14,0,IND,Online TA,0,Transient,1,0,1,3,B,184,No Deposit,2,Corporate,0,,Peak,0,0,,552,156.4,0,8,8
BK100032,2024-04-04,2024-05-19,45,DEU,Groups,0,Transient,2,1,1,2,A,105,No Deposit,0,OTA,0,,Medium,0,0,,210,68.25,6,4,5
BK100033,2024-08-26,2024-10-06,41,BRA,Direct,0,Transient,2,0,1,2,A,93,Non Refund,0,Direct,0,,Medium,0,1,,186,55.8,6,8,10
BK100034,2023-10-12,2023-10-12,0,DEU,Direct,0,Transient,2,2,1,2,B,168,Refundable,1,Direct,0,,Medium,0,0,,336,100.8,3,10,10
BK100035,2025-04-08,2025-08-04,118,ESP,Direct,0,Transient,2,0,1,5,A,123,Refundable,0,Direct,1,2025-07-01,Peak,0,0,Visa delay,615,104.55,0,4,8
BK100036,2025-06-09,2025-10-04,117,DEU,Online TA,0,Transient,1,0,1,4,A,92,Non Refund,0,OTA,0,,Medium,0,0,,368,55.2,5,6,10
BK100037,2023-01-07,2023-01-13,6,GBR,Online TA,0,Transient,1,0,1,1,B,117,Refundable,0,OTA,0,,Low,0,0,,117,52.65,4,1,1
BK100038,2025-02-16,2025-04-19,62,BRA,Online TA,0,Group,2,0,2,2,C,73,No Deposit,0,Direct,0,,Medium,0,1,,292,43.8,5,2,4
BK100039,2025-04-05,2025-05-12,37,BRA,Direct,0,Transient,2,0,1,1,B,136,No Deposit,0,OTA,0,,Medium,0,0,,136,88.4,0,4,5
